movie,year,tmdb_link,tmdb_id,genres,normalized_title,family_id
Dr. M,1990,https://www.themoviedb.org/movie/29177,29177,"Crime, Mystery, Science Fiction",dr m,FAM0050
Nosferatu,1922,https://www.themoviedb.org/movie/653,653,"Horror, Fantasy",nosferatu,FAM0051
Nosferatu the Vampyre,1979,https://www.themoviedb.org/movie/6404,6404,"Drama, Horror",nosferatu the vampyre,FAM0051
The Ten Commandments,1923,https://www.themoviedb.org/movie/24805,24805,"Drama, History",ten commandments,FAM0052
The Ten Commandments,1956,https://www.themoviedb.org/movie/6844,6844,"Drama, History",ten commandments,FAM0052
The Last Man on Earth,1924,https://www.themoviedb.org/movie/316288,316288,"Science Fiction, Comedy, Fantasy",last man on earth,FAM0053
It's Great to Be Alive,1933,https://www.themoviedb.org/movie/464730,464730,"Comedy, Music, Science Fiction",it s great to be alive,FAM0053
Merton of the Movies,1924,https://www.themoviedb.org/movie/701482,701482,Comedy,merton of the movies,FAM0054
Make Me a Star,1932,https://www.themoviedb.org/movie/159798,159798,"Romance, Comedy, Drama",make me a star,FAM0054
Seven Chances,1925,https://www.themoviedb.org/movie/32600,32600,"Comedy, Romance",seven chances,FAM0055
The Bachelor,1999,https://www.themoviedb.org/movie/2020,2020,"Comedy, Romance",bachelor,FAM0055
Ben-Hur: A Tale of the Christ,1925,https://www.themoviedb.org/movie/31510,31510,"Adventure, Drama, Romance",ben hur a tale of the christ,FAM0056
Ben-Hur,1959,https://www.themoviedb.org/movie/665,665,"History, Drama, Adventure",ben hur,FAM0056
Never the Twain Shall Meet,1925,https://www.themoviedb.org/movie/893333,893333,Drama,never the twain shall meet,FAM0057
Never the Twain Shall Meet,1931,https://www.themoviedb.org/movie/156332,156332,Drama,never the twain shall meet,FAM0057
The Swan,1925,https://www.themoviedb.org/movie/315729,315729,"Romance, Comedy",swan,FAM0058
The Swan,1956,https://www.themoviedb.org/movie/61048,61048,"Romance, Drama, Comedy",swan,FAM0058
The Unholy Three,1925,https://www.themoviedb.org/movie/27505,27505,"Crime, Thriller, Drama",unholy three,FAM0059
The Unholy Three,1930,https://www.themoviedb.org/movie/27504,27504,"Crime, Drama",unholy three,FAM0059
Aloma of the South Seas,1926,https://www.themoviedb.org/movie/391979,391979,"Comedy, Drama",aloma of the south seas,FAM0060
Aloma of the South Seas,1941,https://www.themoviedb.org/movie/183632,183632,"Adventure, Drama, Romance",aloma of the south seas,FAM0060
The Bat,1926,https://www.themoviedb.org/movie/27501,27501,"Comedy, Mystery, Thriller, Horror",bat,FAM0061
The Bat Whispers,1930,https://www.themoviedb.org/movie/26162,26162,"Mystery, Comedy, Crime, Horror",bat whispers,FAM0061
The General,1926,https://www.themoviedb.org/movie/961,961,"Action, Adventure, Comedy, War, Romance, Drama",general,FAM0062
A Southern Yankee,1948,https://www.themoviedb.org/movie/253250,253250,"Comedy, History, War",southern yankee,FAM0062
Mare Nostrum,1926,https://www.themoviedb.org/movie/183932,183932,"War, Drama",mare nostrum,FAM0063
Mare Nostrum,1948,https://www.themoviedb.org/movie/448116,448116,Drama,mare nostrum,FAM0063
Up in Mabel's Room,1926,https://www.themoviedb.org/movie/402390,402390,Comedy,up in mabel s room,FAM0064
Up in Mabel's Room,1944,https://www.themoviedb.org/movie/191478,191478,Comedy,up in mabel s room,FAM0064
7th Heaven,1927,https://www.themoviedb.org/movie/82474,82474,"Drama, Romance",7th heaven,FAM0065
Seventh Heaven,1937,https://www.themoviedb.org/movie/173605,173605,"Drama, Romance",seventh heaven,FAM0065
The Land Beyond the Law,1927,https://www.themoviedb.org/movie/284940,284940,Western,land beyond the law,FAM0066
The Big Stampede,1932,https://www.themoviedb.org/movie/80193,80193,Western,big stampede,FAM0066
The Cat and the Canary,1927,https://www.themoviedb.org/movie/76804,76804,"Comedy, Horror, Mystery",cat and the canary,FAM0067
The Cat Creeps,1930,https://www.themoviedb.org/movie/84714,84714,"Horror, Mystery",cat creeps,FAM0067
The Way of All Flesh,1927,https://www.themoviedb.org/movie/85499,85499,Drama,way of all flesh,FAM0068
The Way of All Flesh,1940,https://www.themoviedb.org/movie/415506,415506,"Romance, Crime, Drama",way of all flesh,FAM0068
Lonesome,1928,https://www.themoviedb.org/movie/101482,101482,"Romance, Drama",lonesome,FAM0069
The Affair of Susan,1935,https://www.themoviedb.org/movie/294197,294197,"Romance, Comedy",affair of susan,FAM0069
The Michigan Kid,1928,https://www.themoviedb.org/movie/288843,288843,Drama,michigan kid,FAM0070
The Michigan Kid,1947,https://www.themoviedb.org/movie/726279,726279,"Action, Romance, Western",michigan kid,FAM0070
The White Outlaw,1929,https://www.themoviedb.org/movie/633866,633866,Western,white outlaw,FAM0071
The Apache Kid's Escape,1930,https://www.themoviedb.org/movie/129956,129956,Western,apache kid s escape,FAM0071
Lost Patrol,1929,https://www.themoviedb.org/movie/617336,617336,"Drama, War",lost patrol,FAM0072
The Lost Patrol,1934,https://www.themoviedb.org/movie/46910,46910,"Action, War",lost patrol,FAM0072
The Virginian,1929,https://www.themoviedb.org/movie/42616,42616,Western,virginian,FAM0073
The Virginian,1946,https://www.themoviedb.org/movie/121230,121230,Western,virginian,FAM0073
The Blue Angel,1930,https://www.themoviedb.org/movie/228,228,Drama,blue angel,FAM0074
The Blue Angel,1959,https://www.themoviedb.org/movie/271561,271561,Drama,blue angel,FAM0074
The Dawn Patrol,1930,https://www.themoviedb.org/movie/81847,81847,"War, Drama, Action",dawn patrol,FAM0075
The Dawn Patrol,1938,https://www.themoviedb.org/movie/46688,46688,"Action, Drama, War",dawn patrol,FAM0075
Free and Easy,1930,https://www.themoviedb.org/movie/42811,42811,"Comedy, Music",free and easy,FAM0076
Pick a Star,1937,https://www.themoviedb.org/movie/127040,127040,"Comedy, Music",pick a star,FAM0076
Murder!,1930,https://www.themoviedb.org/movie/31930,31930,"Mystery, Crime, Thriller",murder,FAM0077
Mary,1931,https://www.themoviedb.org/movie/97867,97867,"Mystery, Crime, Thriller",mary,FAM0077
Up the River,1930,https://www.themoviedb.org/movie/72602,72602,"Comedy, Crime",up the river,FAM0078
Up the River,1938,https://www.themoviedb.org/movie/490525,490525,Comedy,up the river,FAM0078
Little Caesar,1931,https://www.themoviedb.org/movie/27899,27899,"Drama, Crime, Action",little caesar,FAM0079
Black Caesar,1973,https://www.themoviedb.org/movie/22029,22029,"Action, Crime, Drama, Thriller",black caesar,FAM0079
Clearing the Range,1931,https://www.themoviedb.org/movie/130162,130162,"Drama, Action, Adventure",clearing the range,FAM0080
The Dude Bandit,1933,https://www.themoviedb.org/movie/164258,164258,Western,dude bandit,FAM0080
Dr. Jekyll and Mr. Hyde,1931,https://www.themoviedb.org/movie/3019,3019,"Horror, Science Fiction, Drama",dr jekyll and mr hyde,FAM0081
Dr. Jekyll and Mr. Hyde,1941,https://www.themoviedb.org/movie/3022,3022,"Drama, Horror, Science Fiction",dr jekyll and mr hyde,FAM0081
The Front Page,1931,https://www.themoviedb.org/movie/42814,42814,"Comedy, Crime, Drama, Romance",front page,FAM0082
His Girl Friday,1940,https://www.themoviedb.org/movie/3085,3085,"Comedy, Romance, Drama",his girl friday,FAM0082
M,1931,https://www.themoviedb.org/movie/832,832,"Drama, Thriller, Crime",m,FAM0083
M,1951,https://www.themoviedb.org/movie/36373,36373,"Crime, Drama, Thriller, Mystery",m,FAM0083
Mädchen in Uniform,1931,https://www.themoviedb.org/movie/9653,9653,"Drama, Romance",m dchen in uniform,FAM0084
Mädchen in Uniform,1958,https://www.themoviedb.org/movie/4955,4955,Drama,m dchen in uniform,FAM0084
Trader Horn,1931,https://www.themoviedb.org/movie/84296,84296,"Action, Adventure",trader horn,FAM0085
Trader Horn,1973,https://www.themoviedb.org/movie/340412,340412,Adventure,trader horn,FAM0085
Waterloo Bridge,1931,https://www.themoviedb.org/movie/95797,95797,"Drama, Romance, War",waterloo bridge,FAM0086
Waterloo Bridge,1940,https://www.themoviedb.org/movie/43824,43824,"Drama, Romance",waterloo bridge,FAM0086
X Marks the Spot,1931,https://www.themoviedb.org/movie/156413,156413,"Crime, Drama",x marks the spot,FAM0087
X Marks the Spot,1942,https://www.themoviedb.org/movie/186857,186857,Mystery,x marks the spot,FAM0087
Back Street,1932,https://www.themoviedb.org/movie/109197,109197,"Drama, Romance",back street,FAM0088
Back Street,1941,https://www.themoviedb.org/movie/109016,109016,Drama,back street,FAM0088
"I Was Born, But...",1932,https://www.themoviedb.org/movie/28268,28268,"Comedy, Drama",i was born but,FAM0089
Good Morning,1959,https://www.themoviedb.org/movie/28276,28276,"Comedy, Family, Drama",good morning,FAM0089
The Last Mile,1932,https://www.themoviedb.org/movie/69857,69857,Drama,last mile,FAM0090
The Last Mile,1959,https://www.themoviedb.org/movie/72002,72002,"Drama, Thriller, Crime",last mile,FAM0090
Red Dust,1932,https://www.themoviedb.org/movie/38077,38077,"Romance, Drama",red dust,FAM0091
Mogambo,1953,https://www.themoviedb.org/movie/25009,25009,"Adventure, Drama, Romance",mogambo,FAM0091
The Mummy,1932,https://www.themoviedb.org/movie/15849,15849,"Horror, Fantasy",mummy,FAM0092
The Mummy,1959,https://www.themoviedb.org/movie/18990,18990,Horror,mummy,FAM0092
The Thirteenth Guest,1932,https://www.themoviedb.org/movie/76964,76964,"Mystery, Thriller",thirteenth guest,FAM0093
Mystery of the 13th Guest,1943,https://www.themoviedb.org/movie/118953,118953,"Crime, Mystery",mystery of the 13th guest,FAM0093
The Old Dark House,1932,https://www.themoviedb.org/movie/31592,31592,"Drama, Horror, Thriller",old dark house,FAM0094
The Old Dark House,1963,https://www.themoviedb.org/movie/29400,29400,"Comedy, Horror, Mystery",old dark house,FAM0094
Rome Express,1932,https://www.themoviedb.org/movie/190405,190405,Thriller,rome express,FAM0095
Sleeping Car to Trieste,1948,https://www.themoviedb.org/movie/271426,271426,Thriller,sleeping car to trieste,FAM0095
Scarface,1932,https://www.themoviedb.org/movie/877,877,"Crime, Action, Drama, Thriller",scarface,FAM0096
Scarface,1983,https://www.themoviedb.org/movie/111,111,"Action, Crime, Drama",scarface,FAM0096
Tarzan the Ape Man,1932,https://www.themoviedb.org/movie/26845,26845,"Action, Adventure",tarzan the ape man,FAM0097
"Tarzan, the Ape Man",1959,https://www.themoviedb.org/movie/210395,210395,"Adventure, Action",tarzan the ape man,FAM0097
The Mayor of Hell,1933,https://www.themoviedb.org/movie/100894,100894,"Crime, Drama",mayor of hell,FAM0098
Crime School,1938,https://www.themoviedb.org/movie/79129,79129,"Crime, Drama",crime school,FAM0098
Hoop-La,1933,https://www.themoviedb.org/movie/84358,84358,Drama,hoop la,FAM0099
Diamond Horseshoe,1945,https://www.themoviedb.org/movie/108205,108205,"Music, Comedy",diamond horseshoe,FAM0099
Victor and Victoria,1933,https://www.themoviedb.org/movie/169377,169377,"Music, Comedy, Romance",victor and victoria,FAM0100
First a Girl,1935,https://www.themoviedb.org/movie/190165,190165,Comedy,first a girl,FAM0100
The Good Companions,1933,https://www.themoviedb.org/movie/120965,120965,"Romance, Comedy, Music",good companions,FAM0101
The Good Companions,1957,https://www.themoviedb.org/movie/263270,263270,"Music, Comedy, Romance",good companions,FAM0101
Lady for a Day,1933,https://www.themoviedb.org/movie/43130,43130,"Comedy, Drama",lady for a day,FAM0102
Pocketful of Miracles,1961,https://www.themoviedb.org/movie/248,248,"Comedy, Drama",pocketful of miracles,FAM0102
One Sunday Afternoon,1933,https://www.themoviedb.org/movie/180635,180635,"Romance, Comedy",one sunday afternoon,FAM0103
The Strawberry Blonde,1941,https://www.themoviedb.org/movie/76465,76465,"Romance, Comedy",strawberry blonde,FAM0103
