family_id,movie_count,titles,years,needs_review
FAM0231,2,Pokémon the Movie: Mewtwo Strikes Back - Evolution | Pokémon: The First Movie,"1998, 2019",yes
FAM0232,2,Ringu | The Ring,"1998, 2002",no
FAM0233,2,Stepmom | We Are Family,"1998, 2010",yes
FAM0234,2,Taxi,"1998, 2004",no
FAM0235,2,Himitsu | The Secret,"1999, 2007",yes
FAM0236,2,Sethu | Tere Naam,"1999, 2003",yes
FAM0237,2,Criminal | Nueve Reinas,"2000, 2004",yes
FAM0238,3,Il Mare | Siworae | The Lake House,"2000, 2006",yes
FAM0239,3,What Men Want | What Women Want,"2000, 2011, 2019",no
FAM0240,2,Das Experiment | The Experiment,"2001, 2010",yes
FAM0241,2,Hot Money | Mad Money,"2001, 2008",yes
FAM0242,2,I Am Sam | Main Aisa Hi Hoon,"2001, 2005",yes
FAM0243,2,The Last Kiss,"2001, 2006",no
FAM0244,2,Mostly Martha | No Reservations,"2001, 2007",yes
FAM0245,2,Pulse,"2001, 2006",no
FAM0246,2,Dark Water,"2002, 2005",no
FAM0247,2,Infernal Affairs | The Departed,"2002, 2006",yes
FAM0248,3,Naina | The Eye,"2002, 2005, 2008",yes
FAM0249,2,Hello Mr. Billionaire | Mr. Deeds,"2002, 2018",yes
FAM0250,2,Lilo & Stitch,"2002, 2025",no
FAM0251,2,Run,"2002, 2004",no
FAM0252,2,Chloe | Nathalie...,"2003, 2009",yes
FAM0253,2,Elf | Elf: Buddy's Musical Christmas,"2003, 2014",yes
FAM0254,2,Gharshana | Kaakha Kaakha,"2003, 2004",yes
FAM0255,2,Interview,"2003, 2007",no
FAM0256,2,Midsommer | Solstice,"2003, 2008",yes
FAM0257,2,Oldboy,"2003, 2013",no
FAM0258,2,The Room | The Room Returns!,"2003, 2025",yes
FAM0259,2,Autograph | Naa Autograph,2004,yes
FAM0260,2,Brothers | Brødre,"2004, 2009",yes
FAM0261,2,Brick Mansions | District 13,"2004, 2014",yes
FAM0262,2,Sigaw | The Echo,"2004, 2008",yes
FAM0263,2,Le Convoyeur | Wrath of Man,"2004, 2021",yes
FAM0264,2,Sideways,"2004, 2009",no
FAM0265,2,Annavaram | Thirupaachi,"2005, 2006",yes
FAM0266,2,Anthony Zimmer | The Tourist,"2005, 2010",yes
FAM0267,2,Ghajini,"2005, 2008",no
FAM0268,3,Chinthamani Kolacase | Ellam Avan Seyal | Sri Mahalakshmi,"2006, 2007, 2008",yes
FAM0269,2,Classmates,"2006, 2007",no
FAM0270,2,Jai Ho | Stalin,"2006, 2014",yes
FAM0271,2,Rowdy Rathore | Vikramarkudu,"2006, 2012",yes
FAM0272,2,Death at a Funeral,"2007, 2010",no
FAM0273,2,The Debt,"2007, 2010",no
FAM0274,2,Quarantine | REC,"2007, 2008",yes
FAM0275,2,Anything for Her | The Next Three Days,"2008, 2010",yes
FAM0276,3,Loft | The Loft,"2008, 2010, 2014",no
FAM0277,2,Martyrs,"2008, 2015",no
FAM0278,2,Ready,"2008, 2011",no
FAM0279,2,Scandal Maker | Scandal Makers,"2008, 2016",no
FAM0280,3,3 Idiotas | 3 Idiots | Nanban,"2009, 2012, 2017",yes
FAM0281,2,All the Best | Gulumaal: The Escape,"2009, 2012",yes
FAM0282,2,Bride Wars,"2009, 2015",no
FAM0283,2,The Girl with the Dragon Tattoo,"2009, 2011",no
FAM0284,5,Hudugaru | Ithu Nammude Katha | Naadodigal | Rangrezz | Shambo Shiva Shambo,"2009, 2010, 2011, 2013",yes
FAM0285,2,Kick,"2009, 2014",no
FAM0286,2,Secret in Their Eyes | The Secret in Their Eyes,"2009, 2015",no
FAM0287,2,How to Train Your Dragon,"2010, 2025",no
FAM0288,2,Blind | The Witness,"2011, 2015",yes
FAM0289,2,The Intouchables | The Upside,"2011, 2019",yes
FAM0290,2,The Body,"2012, 2019",no
FAM0291,3,Gopala Gopala | Mukunda Murari | OMG – Oh My God!,"2012, 2015, 2016",yes
FAM0292,3,20 Once Again | Miss Granny | Sweet 20,"2014, 2015",yes
FAM0293,2,Chef,"2014, 2017",no
FAM0294,2,Kisi Ka Bhai Kisi Ki Jaan | Veeram,"2014, 2023",yes
FAM0295,2,Last Shift | Malum,"2014, 2023",yes
FAM0296,2,A Man Called Otto | A Man Called Ove,"2015, 2022",yes
FAM0297,2,Baby John | Theri,"2016, 2024",yes
FAM0298,3,Nerkonda Paarvai | Pink | Vakeel Saab,"2016, 2019, 2021",yes
FAM0299,2,The Guilty,"2018, 2021",no
FAM0300,2,Jersey,"2019, 2022",no
FAM0301,2,Shaitaan | Vash,"2023, 2024",yes
