Original,Remake(s)
The Golden Chance (1915),Forbidden Fruit (1921)
Gone in 60 Seconds (1974),Gone in 60 Seconds (2000)
The Good Companions (1933),The Good Companions (1957)
The Goodbye Girl (1977),The Goodbye Girl (2004)
The Grand Highway (1987),Paradise (1991)
The Great Train Robbery (1941),The Last Bandit (1949)
,South Pacific Trail (1952)
Guess Who's Coming to Dinner (1967),Guess Who (2005)
The Guilty (2018),The Guilty (2021)
Gunga Din (1939),Sergeants 3 (1962)
A Guy Named Joe (1943),Always (1989)
Halloween (1978),Halloween (2007)
Harakiri (1962),Hara-Kiri: Death of a Samurai (2011)
The Haunting (1963),The Haunting (1999)
Heat (1986),Wild Card (2015)
The Heartbreak Kid (1972),The Heartbreak Kid (2007)
Here Comes Mr. Jordan (1941),Heaven Can Wait (1978)
,Down to Earth (2001)
Hi Nellie! (1934),Love Is on the Air (1937)
,You Can't Escape Forever (1942)
,The House Across the Street (1949)
High Sierra (1941),I Died a Thousand Times (1955)
The Hills Have Eyes (1977),The Hills Have Eyes (2006)
Himitsu (1999),The Secret (2007)
His Royal Slyness (1920),Long Fliv the King (1926)
The Hitcher (1986),The Hitcher (2007)
Hodet over vannet (1993),Head Above Water (1996)
Holiday (1930),Holiday (1938)
Holiday for Henrietta (1952),Paris When It Sizzles (1964)
Hoop-La (1933),Diamond Horseshoe (1945)
Mystery of the Wax Museum (1933),House of Wax (1953)
,House of Wax (2005)
House on Haunted Hill (1959),House on Haunted Hill (1999)
The House on Sorority Row (1983),Sorority Row (2009)
House of Strangers (1949),Broken Lance (1954)
How to Make a Monster (1958),How to Make a Monster (2001)
How to Train Your Dragon (2010),How to Train Your Dragon (2025)
The Hurricane (1937),Hurricane (1979)
I Am Sam (2001),Main Aisa Hi Hoon (2005)
I Saw What You Did (1965),I Saw What You Did (1988)
I Spit on Your Grave (1978),I Spit on Your Grave (2010)
"I Was Born, But... (1932)",Good Morning (1959)
Ice Castles (1978),Ice Castles (2010)
The Incredible Journey (1963),Homeward Bound: The Incredible Journey (1993)
Un indien dans la ville (1994),Jungle 2 Jungle (1997)
Infernal Affairs (2002),The Departed (2006)
The Informer (1935),Uptight (1968)
The In-Laws (1979),The In-Laws (2003)
Insomnia (1997),Insomnia (2002)
Intermezzo (1936),Intermezzo (1939)
Interview (2003),Interview (2007)
The Intouchables (2011),The Upside (2019)
Invaders from Mars (1953),Invaders from Mars (1986)
It Started with Eve (1941),I'd Rather Be Rich (1964)
The Italian Job (1969),The Italian Job (2003)
It's Alive (1974),It's Alive (2009)
The Jazz Singer (1927),The Jazz Singer (1952)
,The Jazz Singer (1980)
Jersey (2019),Jersey (2022)
"Joe Smith, American (1942)",The Big Operator (1959)
Le Jouet (1976),The Toy (1982)
Le jour se lève (1939),The Long Night (1947)
Journey into Fear (1943),Journey into Fear (1975)
The Jungle Book (1967),The Jungle Book (2016)
Kaakha Kaakha (2003),Gharshana (2004)
The Karate Kid (1984),The Karate Kid (2010)
Katha Parayumpol (2007),Kathanayakudu (2008)
,Billu Barber (2009)
Kick (2009),Kick (2014)
King Kong (1933),King Kong (1976)
,The Mighty Kong (1998)
,King Kong (2005)
Kismet (1944),Kismet (1955)
Kiss of Death (1947),The Fiend Who Walked the West (1958)
,Kiss of Death (1995)
Kolamba Sanniya (1976),Kolamba Sanniya Returns (2018)
Lady and the Tramp (1955),Lady and the Tramp (2019)
The Lady Eve (1941),The Birds and the Bees (1956)
Lady for a Day (1933),Pocketful of Miracles (1961)
The Ladykillers (1955),The Ladykillers (2004)
The Lady Vanishes (1938),The Lady Vanishes (1979)
The Land Beyond the Law (1927),The Big Stampede (1932)
,Land Beyond the Law (1937)
The Land That Time Forgot (1975),The Land That Time Forgot (2009)
Last Holiday (1950),Last Holiday (2006)
The Last House on the Left (1972),The Last House on the Left (2009)
The Last Kiss (2001),The Last Kiss (2006)
The Last Man on Earth (1924),It's Great to Be Alive (1933)
The Last Mile (1932),The Last Mile (1959)
Last of the Badmen (1957),Gunfight at Comanche Creek (1963)
