Movie,Year,TMDB Link,Genre
Black Caesar,1973,https://www.themoviedb.org/movie/22029,"Action, Crime, Drama, Thriller"
Black Cat,1991,https://www.themoviedb.org/movie/45437,"Action, Crime, Thriller, Romance"
Black Christmas,1974,https://www.themoviedb.org/movie/16938,"Horror, Mystery, Crime"
Black Christmas,2006,https://www.themoviedb.org/movie/9656,"Horror, Mystery"
Black Christmas,2019,https://www.themoviedb.org/movie/551808,"Horror, Mystery"
Blazing Saddles,1974,https://www.themoviedb.org/movie/11072,"Western, Comedy"
Blind,2011,https://www.themoviedb.org/movie/79374,Thriller
Body and Soul,1947,https://www.themoviedb.org/movie/17487,Drama
Body and Soul,1981,https://www.themoviedb.org/movie/167951,Drama
Body and Soul,1999,https://www.themoviedb.org/movie/132785,Drama
Born Yesterday,1950,https://www.themoviedb.org/movie/24481,"Comedy, Romance"
Born Yesterday,1993,https://www.themoviedb.org/movie/44968,"Comedy, Romance"
Boudu,2005,https://www.themoviedb.org/movie/14644,Comedy
Boudu Saved from Drowning,1932,https://www.themoviedb.org/movie/48365,Comedy
Breaking Point,1989,https://www.themoviedb.org/movie/585952,"Mystery, Romance, Thriller, War, TV Movie"
Breathless,1960,https://www.themoviedb.org/movie/269,"Drama, Crime"
Breathless,1983,https://www.themoviedb.org/movie/1058,"Romance, Drama, Action"
Brian's Song,1971,https://www.themoviedb.org/movie/18047,"Drama, TV Movie"
Brian's Song,2001,https://www.themoviedb.org/movie/18048,"Action, Drama, TV Movie"
Brick Mansions,2014,https://www.themoviedb.org/movie/254473,"Action, Crime, Drama"
Bride Wars,2009,https://www.themoviedb.org/movie/10521,"Comedy, Romance"
Bride Wars,2015,https://www.themoviedb.org/movie/362519,"Comedy, Romance"
Brighton Rock,1948,https://www.themoviedb.org/movie/13385,"Crime, Drama, Thriller"
Brighton Rock,2010,https://www.themoviedb.org/movie/62728,"Drama, Thriller, Crime"
Broadway Bill,1934,https://www.themoviedb.org/movie/77198,"Comedy, Drama"
Broken Lance,1954,https://www.themoviedb.org/movie/42328,"Adventure, Drama, Western"
Brother Rat,1938,https://www.themoviedb.org/movie/114838,Comedy
Brothers,2009,https://www.themoviedb.org/movie/7445,"Drama, Thriller, War"
Brødre,2004,https://www.themoviedb.org/movie/3875,"Drama, War"
Buddy Buddy,1981,https://www.themoviedb.org/movie/36133,"Comedy, Crime"
Cabin Fever,2002,https://www.themoviedb.org/movie/11547,Horror
Cabin Fever,2016,https://www.themoviedb.org/movie/298584,Horror
Can't Buy Me Love,1987,https://www.themoviedb.org/movie/12919,"Comedy, Romance"
Cape Fear,1962,https://www.themoviedb.org/movie/11349,"Thriller, Drama, Crime"
Cape Fear,1991,https://www.themoviedb.org/movie/1598,"Drama, Crime, Thriller"
Carrie,1976,https://www.themoviedb.org/movie/7340,"Horror, Thriller"
Carrie,2002,https://www.themoviedb.org/movie/7342,"Horror, Drama, TV Movie"
Carrie,2013,https://www.themoviedb.org/movie/133805,"Drama, Horror"
Castle of Blood,1964,https://www.themoviedb.org/movie/28532,Horror
Cat People,1942,https://www.themoviedb.org/movie/25508,"Mystery, Horror, Romance"
Cat People,1982,https://www.themoviedb.org/movie/6217,"Fantasy, Horror"
Cat-Women of the Moon,1953,https://www.themoviedb.org/movie/43341,Science Fiction
Cats,1998,https://www.themoviedb.org/movie/26598,"Music, Fantasy"
Cats,2019,https://www.themoviedb.org/movie/536869,"Fantasy, Comedy, Drama"
Charade,1963,https://www.themoviedb.org/movie/4808,"Comedy, Mystery, Romance"
Charlie and the Chocolate Factory,2005,https://www.themoviedb.org/movie/118,"Adventure, Comedy, Family, Fantasy"
Charlotte's Web,1973,https://www.themoviedb.org/movie/15171,"Family, Animation, Drama"
Charlotte's Web,2006,https://www.themoviedb.org/movie/9986,"Comedy, Family, Fantasy"
Cheaper by the Dozen,1950,https://www.themoviedb.org/movie/33839,"Comedy, Drama, Family"
Cheaper by the Dozen,2003,https://www.themoviedb.org/movie/11007,"Comedy, Family, Drama"
Chef,2014,https://www.themoviedb.org/movie/212778,Comedy
Chef,2017,https://www.themoviedb.org/movie/471972,"Drama, Comedy, Family"
Chicken Little,1943,https://www.themoviedb.org/movie/64648,"Animation, Family"
Chicken Little,2005,https://www.themoviedb.org/movie/9982,"Animation, Family, Comedy"
Child's Play,1988,https://www.themoviedb.org/movie/10585,Horror
Child's Play,2019,https://www.themoviedb.org/movie/533642,"Horror, Thriller"
Chloe,2009,https://www.themoviedb.org/movie/468086,"Comedy, Romance, Family"
Christmas Eve,1947,https://www.themoviedb.org/movie/58799,"Comedy, Drama"
Christmas Eve,1986,https://www.themoviedb.org/movie/374438,"Drama, TV Movie"
Christmas in Connecticut,1945,https://www.themoviedb.org/movie/13669,"Comedy, Romance"
Christmas in Connecticut,1992,https://www.themoviedb.org/movie/55596,"Comedy, Romance, TV Movie"
Cinderella,1950,https://www.themoviedb.org/movie/11224,"Family, Fantasy, Animation, Romance"
Cinderella,2015,https://www.themoviedb.org/movie/150689,"Romance, Fantasy, Family, Drama"
City of Angels,1998,https://www.themoviedb.org/movie/795,"Romance, Drama, Fantasy"
Clash of the Titans,1981,https://www.themoviedb.org/movie/10323,"Adventure, Fantasy, Action"
Clash of the Titans,2010,https://www.themoviedb.org/movie/18823,"Adventure, Fantasy, Action"
Classmates,2006,https://www.themoviedb.org/movie/325914,"Mystery, Romance"
Classmates,2007,https://www.themoviedb.org/movie/533852,"Drama, Romance"
Clearing the Range,1931,https://www.themoviedb.org/movie/130162,"Drama, Action, Adventure"
"Cole Younger, Gunfighter",1958,https://www.themoviedb.org/movie/144471,Western
Cousin Cousine,1975,https://www.themoviedb.org/movie/5618,"Comedy, Romance"
Cousins,1989,https://www.themoviedb.org/movie/31674,"Comedy, Romance"
Crackers,1984,https://www.themoviedb.org/movie/87235,"Action, Comedy, Crime"
Crime School,1938,https://www.themoviedb.org/movie/79129,"Crime, Drama"
Criminal,2004,https://www.themoviedb.org/movie/14198,"Action, Comedy, Thriller"
Criss Cross,1949,https://www.themoviedb.org/movie/22112,"Crime, Thriller"
Cube,1997,https://www.themoviedb.org/movie/431,"Thriller, Science Fiction, Mystery"
Cube,2021,https://www.themoviedb.org/movie/792678,"Thriller, Mystery, Science Fiction"
D.O.A.,1950,https://www.themoviedb.org/movie/16958,"Crime, Drama"
